"","indx","trigger1","trigger2","trigger3","context1","context2","context3","function1","function2","function3","content1","content2","content3","content4","time_start","time_end","duration","recur","singers_n","singers_age1","singers_age2","shape_type","appear_paint","appear_adorn","appear_cloth","appear_mask","appear_obj","restrict_sex","restrict_marry","restrict_grp1","restrict_grp2","audience_n","audience_age1","audience_age2","audience_sex","audience_marry","audience_grp1","audience_grp2","instrument_type1","instrument_type2","instrument_type3"
"3995",3995,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Interpersonal relations (includes love)","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3996",3996,"Offenses and sanctions","Intra-community relations",".","Drives and emotions",".",".","Ingroup antagonisms",".",".","Interpersonal relations (includes love)","Ingroup antagonisms",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3997",3997,"Food processing (includes food preparation, storage, and preservation)","Cultural identity and pride",".",".",".",".","Food processing (includes food preparation, storage, and preservation)",".",".","Food consumption","Food processing (includes food preparation, storage, and preservation)",".",".",".",".","10 min - 1 hour","No recurrence","Multiple singers (number unknown)",".",".","Circle",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3998",3998,".",".",".",".",".",".",".",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3999",3999,".",".",".","Sex (not extramarital)",".",".",".",".",".","Gender roles and issues","Sex (not extramarital)",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"4000",4000,".",".",".","Sex (not extramarital)",".",".",".",".",".","Sex (not extramarital)","Extramarital sex relations (adultery)","Human Biology",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"4001",4001,".",".",".","Sex (not extramarital)",".",".",".",".",".","Human Biology",".",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"4002",4002,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Death (burials, funerals, mourning)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Climate","Family (includes nuclear family, polygamy, adoption)","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"4003",4003,".",".",".","Sex (not extramarital)",".",".",".",".",".","Human Biology","Sex (not extramarital)",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"4004",4004,".",".",".","Sex (not extramarital)",".",".",".",".",".","Sex (not extramarital)","Human Biology",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"4005",4005,".",".",".","Interpersonal relations (includes love)","Sex (not extramarital)",".",".",".",".","Sex (not extramarital)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"4006",4006,".",".",".","Sex (not extramarital)",".",".",".",".",".","Human Biology",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"4007",4007,".",".",".","Interpersonal relations (includes love)",".",".","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".",".","Interpersonal relations (includes love)","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"4008",4008,".",".",".","Sex (not extramarital)",".",".",".",".",".","Sex (not extramarital)","Clothing",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"4009",4009,".",".",".","Sex (not extramarital)",".",".",".",".",".","Human Biology",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"4010",4010,".",".",".","Sex (not extramarital)",".",".",".",".",".","Human Biology",".",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"4011",4011,"Cultural identity and pride",".",".",".",".",".","Communication",".",".","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)","Sex (not extramarital)",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"4012",4012,"Cultural identity and pride",".",".",".",".",".","Communication",".",".","Sex (not extramarital)",".",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"4013",4013,"Dance",".",".",".",".",".","Dance",".",".","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"4014",4014,"Dance",".",".",".",".",".","Dance",".",".","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"4015",4015,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"4016",4016,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Death (burials, funerals, mourning)",".",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"4017",4017,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Death (burials, funerals, mourning)",".",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"4018",4018,".",".",".",".",".",".",".",".",".","Death (burials, funerals, mourning)","Ideas about nature and people",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"4019",4019,".",".",".",".",".",".",".",".",".","Death (burials, funerals, mourning)","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"4020",4020,".",".",".",".",".",".",".",".",".","Food processing (includes food preparation, storage, and preservation)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"4021",4021,"Disasters",".",".","Disasters","Communication",".","Disasters",".",".","Disasters",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"4022",4022,"Disasters",".",".","Disasters","Communication",".","Disasters",".",".","Disasters",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"4023",4023,"Cultural identity and pride","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".","Circle",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".",".",".","."
"4024",4024,"Cultural identity and pride",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".","Male",".","Leaders",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".","."
"4025",4025,"Puberty and initiation",".",".","Drives and emotions",".",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".","Circle","Head/face & shoulders","Unspecified location","Butt & groin",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"4026",4026,".",".",".",".",".",".",".",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"4027",4027,".",".",".",".",".",".",".",".",".","Extramarital sex relations (adultery)","Interpersonal relations (includes love)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"4028",4028,".",".",".",".",".",".",".",".",".","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"4029",4029,".",".",".",".",".",".",".",".",".","Climate","Disasters",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"4030",4030,".",".",".",".",".",".",".",".",".","Climate","Ideas about nature and people","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"4031",4031,"Cultural identity and pride","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".","Flora","Human Biology",".",".",".",".",".",".","Solo singer",".",".","Line (or row)",".",".",".",".",".","Male",".","Composer",".",".",".",".",".",".",".",".",".",".","."
"4032",4032,"Dance",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"4033",4033,"Cultural identity and pride",".",".",".",".",".",".",".",".","Status, role, and prestige",".",".",".",".",".",".",".","Solo singer",".",".","Other shape",".",".",".",".",".","Male",".","Composer",".","Multiple singers (number unknown)","All ages",".","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".","Membranophone",".","."
"4034",4034,".",".",".",".",".",".",".",".",".","Climate","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".","Male",".","Composer",".","Multiple singers (number unknown)","All ages",".",".",".",".",".",".",".","."
"4035",4035,".",".",".",".","Humor",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Membranophone",".","."
"4036",4036,".",".",".",".",".",".",".",".",".","Food consumption","Food processing (includes food preparation, storage, and preservation)",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".",".",".",".",".",".",".","."
"4037",4037,".",".",".",".",".",".",".",".",".",".","Travel and transportation",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".",".",".",".",".",".",".","."
"4038",4038,"Fishing",".",".",".",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"4039",4039,"Food processing (includes food preparation, storage, and preservation)",".",".","Humor",".",".","Food processing (includes food preparation, storage, and preservation)",".",".","Food consumption","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".",".",".",".","10 min - 1 hour","No recurrence","Multiple singers (number unknown)",".",".","Circle",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"4040",4040,"Food processing (includes food preparation, storage, and preservation)","Status, role, and prestige",".",".",".",".",".",".",".","Drives and emotions","Food processing (includes food preparation, storage, and preservation)",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"4041",4041,"Food processing (includes food preparation, storage, and preservation)",".",".",".",".",".","Food processing (includes food preparation, storage, and preservation)",".",".","Food processing (includes food preparation, storage, and preservation)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
